视觉及深度学习首席工程师,杭州宏景智驾科技有限公司,上海-嘉定区,5-7年经验,硕士,3-4万/月
（SFAE） 数据挖掘工程师（上海徐汇）（108626）(职位编号：108626),西门子工厂自动化工程有限公司(SFAE),上海,无工作经验,本科,
软件测试工程师,广州磐信计算机科技有限公司,广州-天河区,2年经验,大专,1-1.5万/月
嵌入式软件工程师,广州世炬网络科技有限公司,广州-越秀区,2年经验,本科,0.5-1万/月
数据分析经理,丽枫舒适酒店管理（深圳）有限公司,深圳-南山区,无工作经验,本科,1.5-2万/月
产品经理,精巧信息咨询（北京）有限公司,北京-朝阳区,2年经验,本科,1.5-3万/月
高级运维工程师  [石家庄],上海盛世锦天网络科技有限公司,石家庄,3-4年经验,本科,1-1.5万/月
图像算法工程师,深圳凌众大通智能科技有限公司,深圳-南山区,1年经验,硕士,1.5-3万/月
系统分析工程师,诺斯贝尔化妆品股份有限公司,中山,3-4年经验,大专,0.6-1.5万/月
技术美术,成都浩游网络科技有限责任公司,成都-高新区,3-4年经验,中专,1-1.5万/月
java开发工程师-研发中心,北京神州泰岳软件股份有限公司,北京-朝阳区,3-4年经验,本科,1.2-1.8万/月
大数据开发工程师,宁波小遛共享信息科技有限公司,杭州-江干区,3-4年经验,本科,1.5-4万/月
生物医学大数据工程师（初级）,慧算医疗科技（上海）有限公司,上海-浦东新区,无工作经验,招2人,6-8千/月
系统岗,金石期货有限公司上海分公司,上海-虹口区,3-4年经验,大专,0.9-1.5万/月
测试工程师,珠海宣传易网络科技有限公司,珠海,2年经验,招1人,0.7-1.2万/月
运维开发,农信银资金清算中心有限责任公司,北京,3-4年经验,本科,1.5-2万/月
php程序员,北京安宁创新网络科技股份有限公司,石家庄,1年经验,本科,4-8千/月
大数据工程师（科创南京公司）,航天科工深圳（集团）有限公司,深圳-南山区,无工作经验,招3人,1.5-2.5万/月
图像识别工程师,杭州沃朴物联科技有限公司,杭州-余杭区,2年经验,硕士,1-2万/月
软件测试工程师,陕西万德信息科技股份有限公司,长沙,2年经验,大专,0.5-1万/月
资深DBA,中国人民人寿保险股份有限公司总公司,北京,5-7年经验,本科,
精准医疗研究员,领星生物科技（上海）有限公司,上海-浦东新区,无工作经验,博士,0.8-1.2万/月
Web前端开发工程师,无锡京和信息技术有限公司,无锡,无工作经验,招1人,4.5-7千/月
量化工程师,福州微创网络科技有限公司,福州-鼓楼区,无工作经验,本科,0.5-1万/月
算法工程师,中车青岛四方车辆研究所有限公司,青岛,无工作经验,硕士,1-1.2万/月
软件测试,轩亚（福州）信息技术有限公司,福州,无工作经验,招2人,4-8千/月
测试工程师,青岛方寸微电子科技有限公司,济南-高新区,2年经验,本科,5-8千/月
软件测试工程师,杭州畅充科技有限公司,杭州,3-4年经验,本科,0.8-1万/月
IC验证资深工程师,上海视涯信息科技有限公司,上海-浦东新区,3-4年经验,本科,1.5-2.5万/月
图像处理算法工程师,深圳市优贤企业管理咨询有限公司,深圳,3-4年经验,硕士,3-4万/月
TE/PE工程师,紫光同芯微电子有限公司,北京-海淀区,无工作经验,本科,1-2万/月
大数据开发工程师(职位编号：PC1),广东联合电服数据科技股份有限公司,广州-越秀区,2年经验,大专,0.8-1.5万/月
数据分析与建模师,中国太平洋保险（集团）股份有限公司,上海-徐汇区,1年经验,本科,15-40万/年
软件开发工程师（大数据）,福建网龙计算机网络信息技术有限公司,福州-鼓楼区,3-4年经验,本科,1.1-2.2万/月
Linux 系统工程师,上海卓隽信息技术股份有限公司,上海-浦东新区,无工作经验,招3人,0.6-1.2万/月
测试工程师（XR项目）,小高德（广州）置业有限公司,广州-天河区,5-7年经验,本科,1-2万/月
